productPriceLocal,productId,productName,productCategoryId,productCategoryName,productVendorName,productGroupId,Location,eventPosition
71990.00,30030163,Apple IPhone Apple iPhone X 64GB Space Gray (MQAC2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
71990.00,30030164,Apple IPhone Apple iPhone X 64GB Silver (MQAD2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
81990.00,30030165,Смартфон Apple iPhone X 256GB Space Gray (MQAF2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
81990.00,30030166,Смартфон Apple iPhone X 256GB Silver (MQAG2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
32990.00,30032520,Apple IPhone Apple iPhone 6S+ 128Gb Space Gray (FKUD2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,1
25990.00,30038662,Apple IPhone Apple iPhone 6s Plus 16GB Silver (FKU22RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,2
25990.00,30038661,Apple IPhone Apple iPhone 6s Plus 16GB Space Gray (FKU12RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,3
33990.00,30026286,Смартфон Apple iPhone 6s Plus 32GB Space Gray (MN2V2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,4
39990.00,30023535,Смартфон Apple iPhone 6s Plus 128GB Rose Gold (MKUG2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,5
32990.00,30038663,Apple IPhone Apple iPhone 6s Plus 128GB Silver (FKUE2RU/A) восст. ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultFirstPartBlock,6
39990.00,30023533,Смартфон Apple iPhone 6s Plus 128GB Silver (MKUE2RU/A) ,cat2_cis_0000000357,Смартфоны,Apple,cat1_cis_0000000012,newSearchResultSecondPartBlock,1
