name,price
"
	Apple IPhone Apple iPhone X 64GB Space Gray (MQAC2RU/A) 
	",71990
"
	Apple IPhone Apple iPhone X 64GB Silver (MQAD2RU/A) 
	",71990
"
	Смартфон Apple iPhone X 256GB Space Gray (MQAF2RU/A) 
	",81990
"
	Смартфон Apple iPhone X 256GB Silver (MQAG2RU/A) 
	",81990
"
	Смартфон Apple iPhone 6 32GB Space Gray (MQ3D2RU/A) 
	",21990
"
	Смартфон Apple iPhone 6 32GB Gold (MQ3E2RU/A) 
	",21990
"
	Apple IPhone Apple iPhone 6S+ 128Gb Space Gray (FKUD2RU/A) восст. 
	",32990
"
	Apple IPhone Apple iPhone 6s Plus 16GB Silver (FKU22RU/A) восст. 
	",25990
"
	Apple IPhone Apple iPhone 6s Plus 16GB Space Gray (FKU12RU/A) восст. 
	",25990
"
	Смартфон Apple iPhone 6s Plus 32GB Space Gray (MN2V2RU/A) 
	",33990
"
	Смартфон Apple iPhone 6s Plus 128GB Rose Gold (MKUG2RU/A) 
	",39990
"
	Apple IPhone Apple iPhone 6s Plus 128GB Silver (FKUE2RU/A) восст. 
	",32990
"
	Смартфон Apple iPhone 6s Plus 128GB Silver (MKUE2RU/A) 
	",39990
"
	Смартфон Apple iPhone 6s Plus 128GB Space Gray (MKUD2RU/A) 
	",39990
"
	Смартфон Apple iPhone 6s Plus 128GB Gold (MKUF2RU/A) 
	",39990
"
	Смартфон Apple iPhone 6s Plus 32GB Gold (MN2X2RU/A) 
	",33990
"
	Смартфон Apple iPhone 6s Plus 32GB Silver (MN2W2RU/A) 
	",33990
"
	Смартфон Apple iPhone 6s 32GB Space Gray (MN0W2RU/A) 
	",31990
"
	Смартфон Apple iPhone 6s 32GB Rose Gold (MN122RU/A) 
	",31990
"
	Смартфон Apple iPhone 6S 64Gb Space Gray (FKQN2RU/A) восст. 
	",27990
"
	Смартфон Apple iPhone 6S 16Gb Space Gray (FKQJ2RU/A) восст. 
	",22990
"
	Apple IPhone Apple iPhone 6s 32GB Silver (FN0X2RU/A) восст. 
	",25990
"
	Смартфон Apple iPhone 6s 32GB Gold (MN112RU/A) 
	",31990
"
	Смартфон Apple iPhone 6S 32Gb Space Gray (FN0W2RU/A) восст. 
	",25990
"
	Apple IPhone Apple iPhone 6s 64GB Silver (FKQP2RU/A) восст. 
	",27990
"
	Смартфон Apple iPhone 6s 32GB Silver (MN0X2RU/A) 
	",31990
"
	Apple IPhone Apple iPhone 6s 128GB Silver (FKQU2RU/A) восст. 
	",29990
"
	Apple IPhone Apple iPhone 6s 16GB Silver (FKQK2RU/A) восст. 
	",22990
"
	Apple IPhone Apple iPhone 6s 128GB Space Gray (FKQT2RU/A) восст. 
	",29990
"
	Apple IPhone Apple iPhone X 64GB Space Gray (MQAC2RU/A) 
	",71990
"
	Apple IPhone Apple iPhone X 64GB Silver (MQAD2RU/A) 
	",71990
"
	Смартфон Apple iPhone 8 Plus 64GB Space Gray (MQ8L2RU/A) 
	",55990
"
	Смартфон Apple iPhone 8 64GB Space Gray  (MQ6G2RU/A) 
	",46990
"
	Смартфон Apple iPhone X 256GB Space Gray (MQAF2RU/A) 
	",81990
"
	Смартфон Apple iPhone 8 Plus 64GB Gold (MQ8N2RU/A) 
	",55990
"
	Смартфон Apple iPhone X 256GB Silver (MQAG2RU/A) 
	",81990
"
	Apple IPhone Apple iPhone 8 Plus (PRODUCT)RED Special Edition 64Gb 
	",55990
"
	Смартфон Apple iPhone 7 32Gb Black (MN8X2RU/A) 
	",38990
"
	Apple IPhone Apple iPhone 8 (PRODUCT)RED Special Edition 64Gb 
	",46990
"
	Смартфон Apple iPhone 8 64GB Gold (MQ6J2RU/A) 
	",46990
"
	Apple IPhone Apple iPhone 7 128GB Black (FN922RU/A) восст. 
	",35990
"
	Apple IPhone Apple iPhone X 64GB Space Gray (MQAC2RU/A) 
	",71990
"
	Apple IPhone Apple iPhone X 64GB Silver (MQAD2RU/A) 
	",71990
"
	Смартфон Apple iPhone 8 Plus 64GB Space Gray (MQ8L2RU/A) 
	",55990
"
	Смартфон Apple iPhone 8 64GB Space Gray  (MQ6G2RU/A) 
	",46990
"
	Смартфон Apple iPhone X 256GB Space Gray (MQAF2RU/A) 
	",81990
"
	Смартфон Apple iPhone 8 Plus 64GB Gold (MQ8N2RU/A) 
	",55990
"
	Смартфон Apple iPhone X 256GB Silver (MQAG2RU/A) 
	",81990
"
	Apple IPhone Apple iPhone 8 Plus (PRODUCT)RED Special Edition 64Gb 
	",55990
"
	Смартфон Apple iPhone 7 32Gb Black (MN8X2RU/A) 
	",38990
"
	Apple IPhone Apple iPhone 8 (PRODUCT)RED Special Edition 64Gb 
	",46990
"
	Смартфон Apple iPhone 8 64GB Gold (MQ6J2RU/A) 
	",46990
"
	Apple IPhone Apple iPhone 7 128GB Black (FN922RU/A) восст. 
	",35990
"
	Apple IPhone Apple iPhone X 64GB Space Gray (MQAC2RU/A) 
	",71990
"
	Apple IPhone Apple iPhone X 64GB Silver (MQAD2RU/A) 
	",71990
"
	Смартфон Apple iPhone 8 Plus 64GB Space Gray (MQ8L2RU/A) 
	",55990
"
	Смартфон Apple iPhone 8 64GB Space Gray  (MQ6G2RU/A) 
	",46990
"
	Смартфон Apple iPhone X 256GB Space Gray (MQAF2RU/A) 
	",81990
"
	Смартфон Apple iPhone 8 Plus 64GB Gold (MQ8N2RU/A) 
	",55990
"
	Смартфон Apple iPhone X 256GB Silver (MQAG2RU/A) 
	",81990
"
	Apple IPhone Apple iPhone 8 Plus (PRODUCT)RED Special Edition 64Gb 
	",55990
"
	Смартфон Apple iPhone 7 32Gb Black (MN8X2RU/A) 
	",38990
